intensity,likelihood,relevance,start_year,end_year,country,topic,region,city
16,4,4,,2030,United States of America,gas,Northern America,
30,2,5,,2050,Australia,,Oceania,
16,4,4,,2018,Australia,plastic,Oceania,
16,4,4,2017,2018,,revenue,,
12,3,4,,2048,,food,World,
10,2,5,,2021,United States of America,tariff,Northern America,
16,4,4,2017,2022,,insurance,World,
12,4,3,,2022,,equipment,,
8,2,4,,2021,,research,World,
8,2,4,,2020,Mexico,oil,Central America,
12,3,4,2020,2029,,gas,,
72,4,6,,2025,,biomarker,World,
48,4,4,,2023,,,,
60,4,5,2016,2023,,energy,,
60,4,5,,2023,,,World,
12,3,4,,2030,United States of America,battery,Northern America,
16,4,4,,2040,,fossil fuel,World,
12,3,4,,2030,Canada,oil,Northern America,
12,4,3,,2038,,research,,
9,3,3,,2030,China,,Eastern Asia,
12,4,3,,2023,,navigation,,
6,2,3,,2027,,gas,,
12,3,4,,2029,,advertising,World,
30,2,5,,2025,,service,,
16,4,4,,2020,,retail,Asia,
12,4,3,,2020,,healthcare,,
12,4,3,,2020,,cloud,,
40,4,5,2019,2020,,revenue,,
16,4,4,,2022,,artificial intelligence,World,
80,4,5,,2021,,spending,,
12,4,3,,2021,,television,,
16,4,4,,2021,Canada,job,Northern America,
40,4,5,2017,2019,,tax,,
48,4,6,2016,2018,,revenue,,
12,4,3,2018,2019,,population,,
16,4,4,,2018,,consumption,World,
20,4,5,,2018,,data,,
30,2,5,,2045,,tax,,
12,4,3,,2018,,economic growth,,
60,4,5,,2018,,internet of things,,
12,4,3,,2050,,city,,
12,4,3,,2050,,electricity,,
8,2,4,,2030,,energy,,
16,4,4,,2035,Canada,oil,Northern America,
12,3,4,2028,2032,United Kingdom,climate,Northern Europe,
12,3,4,,2038,,copper,World,
60,4,5,,2023,,,World,
72,4,6,,2027,,law,World,
8,2,4,2020,2029,United Kingdom,automation,Northern Europe,
16,4,4,,2020,,population,World,
48,4,4,,2020,,,,
12,4,3,,2020,,internet of things,,
16,4,4,,2020,,computing,World,
12,4,3,,2020,,income,,
16,4,4,2017,2022,,airplane,,
12,4,3,,2021,United States of America,,Northern America,
12,4,3,,2021,,car,,
12,3,4,,2048,,car,Europe,
40,4,5,2017,2019,,gas,,
40,4,5,2017,2019,,tax,,
